input.text,annot1,annot2,annot3,Coded Labels,,,Binary Coded Labels,,,Voting and Final Labels
If you provide the funding to scientifically determine the earth is flat guarantee some highly respected Scientists will take the challenge,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
So Al Jazeera spent years undercover to film two Australian dopes big note themselves You know it Australian abc conspiring with an Islamic Network in attempt to have influence on an Australian Election If only abc investigated Shortens alleged rape case No chance,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Exploration is physical mental amp,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
BREAKING Government of Trinidad Tobago to donate US 500 000 to the Bahamian Government following the passage of Hurricane Dorian will also provide 100 persons from Defence Force members of TT Electricity Commission to provide security and electrical assistance,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Sheeeesk wonder how much C02 was released into that room,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Just one,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
passerby civilian got shot on the head by rubber bullet in Wong Tai Sin of Hong Kong Source Campus TV,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
know no one wants to identify as AR just using it for an over all turm for rightwing AR types who share these ideas on war rape manosphere politics etc What the Derb is saying isn new in these circles but him now saying it is new,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Hundreds of African migrants plan march to Mexico City to protest allegations of mistreatment by Mexican immigration authorities,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
These people do not want solution They only want you dead White man,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Black Man Openly Fantasizes About Slaughtering White Girls During Race War VIDEO Read more via,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
CONTACT FOX NEWS Tell them to bring back Judge Jeanine or we will boycott ALL FOX shows 888 369 4762 212 819 0816 212 301 5789 irena briganti com Bigstory weekend com advertise com Myword com Bullsandbears com Qanon,Neutral,Other hate Speech,Neutral,0,3,0,0,1,0,0
Well done Pauline and great to see you doing so well after your operation,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Insulting WH guests picking fights What true professional,Implicit White Supremacism,Neutral,Neutral,1,0,0,1,0,0,0
New Netflix show is portraying Christians as jews controlling our government from the shadows Unreal projection There been lot of press recently about transgender activist making mockery of the Canadian legal system by threatening to sue bikini waxing estheticians if they do not wax his scrotem,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
To that reply,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Brad Pitt is Traitor to the USA period,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Maxwell Gold He should do book on Australian Rhyming Slang for the abc shop and ask me to do the review That would encourage all his Followers to buy it This may well be his first contribution to The Aust Treasury for very long time,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Multiracial Sweden Erases Own History by Turning Viking Artifacts into Scrap Metal via,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Our guys are the best with memes The EU are the reeeeal fascists is narrative we need to flip,Implicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,1,2,2,1,1,1,1
Trump has been signaling his desire for an increase in immigration because of the low unemployment rate This despite EXPLICIT commitments to the contrary during the campaign,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
They pay the families of suicide bombers It is not some in their midst it is systematic support for terrorism You should be ashamed for trying to obscure that,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
The competition to say the worst possible thing abt Trump the recent shootings is intense This moron tries to claim Trump mad Heil Hitler statement to neo Nazis Brian Williams gives him chance to walk it back But Nope Full Moron,Neutral,Explicit White Supremacism,Implicit White Supremacism,0,2,1,0,1,1,1
Finally Got my tweet cloud,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
He never mentioned anything about the differences in White sub groups But he did have the world only Memorial wall made of marble in honor of all the other Waffen SS divisions and he had every Slavic one listed,Explicit White Supremacism,Implicit White Supremacism,Explicit White Supremacism,2,1,2,1,1,1,1
GOOD American workers must come first over openbordersinc gt,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
The moron in the clip claiming Trump gave Heil Hitler shout out is Former FBI guy named Frank Figliuzzi Who apparently has mind numbing case of TDS,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
Of course he is probably right in the sense that attorney client privilege doesn appear to apply to conservatives and in the sense that it MAY be work product doctrine Attorney client privilege is between an attorney and client so why would anyone would be surprised,Implicit White Supremacism,Neutral,Explicit White Supremacism,1,0,2,1,0,1,1
The sheriff of one of the largest counties in the country denied putting helicopter in the air for Pulte The tweets were later deleted pultecult,Implicit White Supremacism,Implicit White Supremacism,Neutral,1,1,0,1,1,0,1
Feminists will you call this out,Explicit White Supremacism,Other hate Speech,Neutral,2,3,0,1,1,0,1
Daily Beast working with Facebook to dox and punish some guy for video mocking Pelosi reveals the lie of liberal democracy and our free press and free markets Liberalism uses force to silence and punish wrongthink just like communism or any other system,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Shitposting so hard you drive the jannies insane,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
WATCH discusses the backlash she received after being accused of racism while on talk show can not begin to imagine how many people branded me in an incorrect way have been abused and received death threats MORE theboltreport,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
be angry if was as stupid and racist as you Oh and unattractive,Explicit White Supremacism,Neutral,Explicit White Supremacism,2,0,2,1,0,1,1
Greek Racial Nationalists Opens New York Office Read more via,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
stand with Pauline,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The solution is clearly not demonize an entire group inciting justification for action against them only racists do this Many of the recent shooters are Jewish will you condemn Jews and call for action against them Or are you specifically an anti white racist Shame,Explicit White Supremacism,Other hate Speech,Other hate Speech,2,3,3,1,1,1,1
2008 Adolf Hitler Lost Fleet Found in Black Sea via,Explicit White Supremacism,Implicit White Supremacism,Neutral,2,1,0,1,1,0,1
was laughing as wrote it,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
Gonna do quick question poll If you had to pick one of the three labels what would you best fit into,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
It ok Went back to normal,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Nethlerlands Non Whites take to street demanding white classmates for their children More,Explicit White Supremacism,Explicit White Supremacism,Explicit White Supremacism,2,2,2,1,1,1,1
Well which would you guys choose ve love the environment as God gift to all living beings And ve never been threatened by old White ladies,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
had You guys really need to let me know when make typos like that Lol,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
What What the heck does that even mean apart from you do not have an answer so you ll just write rubnish You are not oppressed,Neutral,Neutral,Explicit White Supremacism,0,0,2,0,0,1,0
and silly me thought this was about asking China to pull their weight and reduce emissions who knew it was about ending capitalism and moving towards communist socialist system eh climate child abuse socialismkills left UN agenda one world gov auspol RAW,Neutral,Explicit White Supremacism,Explicit White Supremacism,0,2,2,0,1,1,1
Don miss my new video It no surprise that birth rates are low among White Europeans considering these factors,Neutral,Neutral,Implicit White Supremacism,0,0,1,0,0,1,0
It so beautiful hearing Jordan Peterson moved to tears in his audiobook of 12 Rules as he explains what MEANING is God bless Jordan Peterson What fine man,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
The makers of Ken and Barbie are introducing world first gender neutral range of dolls Playing politics targeting our kids,Implicit White Supremacism,Explicit White Supremacism,Other hate Speech,1,2,3,1,1,1,1
Addiction specialists warn welfare drug testing will do more harm than good The New Daily,Explicit White Supremacism,Explicit White Supremacism,Neutral,2,2,0,1,1,0,1
Get yours today Let CULL THE HERD,Implicit White Supremacism,Other hate Speech,Neutral,1,3,0,1,1,0,1
reminder to carry knife or if possible gun when around diversity,Implicit White Supremacism,Other hate Speech,Other hate Speech,1,3,3,1,1,1,1
Summary Man claiming to be Sudanese asylum seeker comes to UK Stabs 21 yr old woman 15 times to death Question Why do we allow in killers,Explicit White Supremacism,Neutral,Neutral,2,0,0,1,0,0,0
Guys go subscribe to Jared new YouTube channel His old account was excellent but was unjustly purged by the anti White YouTube authorities,Explicit White Supremacism,Implicit White Supremacism,Implicit White Supremacism,2,1,1,1,1,1,1
And live up to their catchphrase free of bias and agenda,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Anti whiteness works by classifying anything white as immoral and in need of diversity to be made good This means that every single nation city town community neighborhood company and organization cannot remain white and must be made diverse and nonwhite,Explicit White Supremacism,Implicit White Supremacism,Other hate Speech,2,1,3,1,1,1,1
Still better flag than current design,Other hate Speech,Explicit White Supremacism,Explicit White Supremacism,3,2,2,1,1,1,1
Trump people SNOWED We are not CROOKED HILLARY,Neutral,Implicit White Supremacism,Neutral,0,1,0,0,1,0,0
The LNP handed The GBR almost half billion dollars is that not enough,Neutral,Neutral,Neutral,0,0,0,0,0,0,0
Fair points And would have ignored it Except the Media Left were misusing it to make him out to be an acolyte of the President,Other hate Speech,Neutral,Neutral,3,0,0,1,0,0,0
Hahhahaahhahaha,Neutral,Explicit White Supremacism,Neutral,0,2,0,0,1,0,0
Members of the white race who helped build this country millions Members of squads who helped build this country,Explicit White Supremacism,Neutral,Implicit White Supremacism,2,0,1,1,0,1,1
